idx,op,name,ne0,ne1,ne2,ne3,us
1439,ROLL,node_1439,768,72,72,1,197
1440,RESHAPE, (reshaped),768,72,72,1,1
1441,VIEW, (reshaped) (view),768,64,64,1,1
1442,CONT, (reshaped) (view) (cont),768,64,64,1,83
1443,RESHAPE, (reshaped) (view) (cont) (reshaped),768,4096,1,1,1
1444,ADD, (reshaped) (view) (cont) (reshaped) (view),768,4096,1,1,120
1445,NORM,node_1445,768,4096,1,1,109
1446,CPY,bb.layers.2.blocks.11.norm2.weight (copy),768,1,1,1,6
1447,MUL,node_1447,768,4096,1,1,84
1448,CPY,bb.layers.2.blocks.11.norm2.bias (copy),768,1,1,1,6
1449,ADD,bb.layers.2.blocks.11.norm2,768,4096,1,1,82
1450,MUL_MAT,node_1450,3072,4096,1,1,766
1451,CPY,bb.layers.2.blocks.11.mlp.fc1.bias (copy),3072,1,1,1,6
1452,ADD,node_1452,3072,4096,1,1,309
1453,UNARY, (view),3072,4096,1,1,311
1454,MUL_MAT,node_1454,768,4096,1,1,744
1455,CPY,bb.layers.2.blocks.11.mlp.fc2.bias (copy),768,1,1,1,6
1456,ADD,bb.layers.2.blocks.11.mlp,768,4096,1,1,82
1457,ADD,bb.layers.2.blocks.11,768,4096,1,1,120
1458,NORM,node_1458,768,4096,1,1,105
1459,CPY,bb.layers.2.blocks.12.norm1.weight (copy),768,1,1,1,6
1460,MUL,node_1460,768,4096,1,1,82
1461,CPY,bb.layers.2.blocks.12.norm1.bias (copy),768,1,1,1,7
1462,ADD,bb.layers.2.blocks.12.norm1,768,4096,1,1,82
1463,RESHAPE,bb.layers.2.blocks.12.norm1 (reshaped),768,64,64,1,1
1464,PAD,node_1464,768,72,72,1,95
1465,RESHAPE, (reshaped),9216,6,12,6,1
1466,PERMUTE, (reshaped) (permuted),9216,12,6,6,1
1467,CONT, (reshaped) (permuted) (cont),9216,12,6,6,106
1468,RESHAPE, (reshaped) (permuted) (cont) (reshaped),768,144,36,1,1
1469,MUL_MAT,node_1469,2304,144,36,1,964
1470,CPY,bb.layers.2.blocks.12.attn.qkv.bias (copy),2304,1,1,1,6
1471,ADD,node_1471,2304,144,36,1,293
1472,RESHAPE, (reshaped),32,24,3,5184,0
1473,PERMUTE, (reshaped) (permuted),32,24,5184,3,1
1474,CONT, (reshaped) (permuted) (cont),32,24,5184,3,570
1475,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,0
1476,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,0
1477,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),144,32,24,36,0
1478,CONT, (reshaped) (permuted) (cont) (view) (reshaped) (permuted) (con,144,32,24,36,103
1479,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,1
1480,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,1
1481,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),32,144,24,36,1
1482,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,1
1483,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,1
