idx,op,name,ne0,ne1,ne2,ne3,us
606,MUL_MAT,node_606,32,144,24,36,9230
607,PERMUTE, (permuted),32,24,144,36,4
608,CONT, (permuted) (cont),32,24,144,36,1596
609,RESHAPE, (permuted) (cont) (reshaped),768,144,36,1,2
610,MUL_MAT,node_610,768,144,36,1,13295
611,ADD,bb.layers.2.blocks.0.attn,768,144,36,1,258
612,RESHAPE,bb.layers.2.blocks.0.attn (reshaped),9216,12,6,6,0
613,PERMUTE,bb.layers.2.blocks.0.attn (reshaped) (permuted),9216,6,12,6,0
614,CONT,bb.layers.2.blocks.0.attn (reshaped) (permuted) (cont),9216,6,12,6,701
615,RESHAPE,bb.layers.2.blocks.0.attn (reshaped) (permuted) (cont) (reshape,768,72,72,1,1
616,RESHAPE,bb.layers.2.blocks.0.attn (reshaped) (permuted) (cont) (reshape,768,72,72,1,0
617,VIEW,bb.layers.2.blocks.0.attn (reshaped) (permuted) (cont) (reshape,768,64,64,1,1
618,CONT,bb.layers.2.blocks.0.attn (reshaped) (permuted) (cont) (reshape,768,64,64,1,470
619,RESHAPE,bb.layers.2.blocks.0.attn (reshaped) (permuted) (cont) (reshape,768,4096,1,1,1
620,ADD,bb.layers.2.blocks.0.attn (reshaped) (permuted) (cont) (reshape,768,4096,1,1,725
621,NORM,node_621,768,4096,1,1,581
622,MUL,node_622,768,4096,1,1,154
623,ADD,bb.layers.2.blocks.0.norm2,768,4096,1,1,88
624,MUL_MAT,node_624,3072,4096,1,1,39552
625,ADD,node_625,3072,4096,1,1,2857
626,UNARY, (view),3072,4096,1,1,5255
627,MUL_MAT,node_627,768,4096,1,1,48436
628,ADD,bb.layers.2.blocks.0.mlp,768,4096,1,1,531
629,ADD,bb.layers.2.blocks.0,768,4096,1,1,1224
630,NORM,node_630,768,4096,1,1,780
631,MUL,node_631,768,4096,1,1,104
632,ADD,bb.layers.2.blocks.1.norm1,768,4096,1,1,56
633,RESHAPE,bb.layers.2.blocks.1.norm1 (reshaped),768,64,64,1,0
634,PAD,node_634,768,72,72,1,2035
635,ROLL,node_635,768,72,72,1,495
636,RESHAPE, (reshaped),9216,6,12,6,0
637,PERMUTE, (reshaped) (permuted),9216,12,6,6,0
